FIPS,population,county,state,urban
17051,21565,Fayette County,ILLINOIS,Rural
17107,29003,Logan County,ILLINOIS,Rural
17165,23994,Saline County,ILLINOIS,Rural
17097,701473,Lake County,ILLINOIS,Urban
17127,14219,Massac County,ILLINOIS,Rural
17017,12493,Cass County,ILLINOIS,Rural
18069,36359,Huntington County,INDIANA,Rural
18181,24149,White County,INDIANA,Rural
18075,20840,Jay County,INDIANA,Rural
18145,44438,Shelby County,INDIANA,Urban
18153,20730,Sullivan County,INDIANA,Urban
18157,191553,Tippecanoe County,INDIANA,Urban
18057,323117,Hamilton County,INDIANA,Urban
18005,82481,Bartholomew County,INDIANA,Urban
18049,20096,Fulton County,INDIANA,Rural
18113,47506,Noble County,INDIANA,Rural
18019,116507,Clark County,INDIANA,Urban
18063,163799,Hendricks County,INDIANA,Urban
18053,66452,Grant County,INDIANA,Rural
18071,44025,Jackson County,INDIANA,Rural
18119,20835,Owen County,INDIANA,Urban
18183,33730,Whitley County,INDIANA,Urban
18023,32273,Clinton County,INDIANA,Rural
18161,7113,Union County,INDIANA,Rural
18029,49479,Dearborn County,INDIANA,Urban
18093,45548,Lawrence County,INDIANA,Rural
18123,19102,Perry County,INDIANA,Rural
18129,25560,Posey County,INDIANA,Urban
18015,20074,Carroll County,INDIANA,Urban
18045,16430,Fountain County,INDIANA,Rural
18149,22952,Starke County,INDIANA,Rural
18055,32159,Greene County,INDIANA,Urban
19011,25636,Benton County,IOWA,Urban
19061,96982,Dubuque County,IOWA,Urban
19151,6797,Pocahontas County,IOWA,Rural
19177,7150,Van Buren County,IOWA,Rural
19003,3670,Adams County,IOWA,Rural
19009,5571,Audubon County,IOWA,Rural
19051,8920,Davis County,IOWA,Rural
19093,6901,Ida County,IOWA,Rural
19135,7807,Monroe County,IOWA,Rural
19167,34827,Sioux County,IOWA,Rural
19025,9744,Calhoun County,IOWA,Rural
19033,42834,Cerro Gordo County,IOWA,Rural
19083,17061,Hardin County,IOWA,Rural
19117,8583,Lucas County,IOWA,Rural
19147,9003,Palo Alto County,IOWA,Rural
19087,19941,Henry County,IOWA,Rural
19099,36971,Jasper County,IOWA,Rural
19157,18388,Poweshiek County,IOWA,Rural
19043,17625,Clayton County,IOWA,Rural
19017,24864,Bremer County,IOWA,Urban
19063,9438,Emmet County,IOWA,Rural
19081,10802,Hancock County,IOWA,Rural
19097,19401,Jackson County,IOWA,Rural
19111,34227,Lee County,IOWA,Rural
19181,50076,Warren County,IOWA,Urban
19123,22164,Mahaska County,IOWA,Rural
19041,16211,Clay County,IOWA,Rural
19055,17183,Delaware County,IOWA,Rural
13005,11201,Bacon County,GEORGIA,Rural
13025,18756,Brantley County,GEORGIA,Urban
13017,17033,Ben Hill County,GEORGIA,Rural
13033,22520,Burke County,GEORGIA,Urban
13047,66700,Catoosa County,GEORGIA,Urban
13053,10560,Chattahoochee County,GEORGIA,Urban
13055,24812,Chattooga County,GEORGIA,Rural
13073,150705,Columbia County,GEORGIA,Urban
13087,26682,Decatur County,GEORGIA,Rural
13115,97369,Floyd County,GEORGIA,Urban
13117,228383,Forsyth County,GEORGIA,Urban
13137,44626,Habersham County,GEORGIA,Rural
13147,25773,Hart County,GEORGIA,Rural
13185,115364,Lowndes County,GEORGIA,Urban
13191,14174,McIntosh County,GEORGIA,Urban
13199,21106,Meriwether County,GEORGIA,Urban
13207,27171,Monroe County,GEORGIA,Urban
13237,21691,Putnam County,GEORGIA,Rural
13261,30064,Sumter County,GEORGIA,Rural
13265,1611,Taliaferro County,GEORGIA,Rural
13301,5297,Warren County,GEORGIA,Rural
19185,6429,Wayne County,IOWA,Rural
19163,172446,Scott County,IOWA,Urban
20181,5938,Sherman County,KANSAS,Rural
20193,7810,Thomas County,KANSAS,Rural
20127,5566,Morris County,KANSAS,Rural
20163,5053,Rooks County,KANSAS,Rural
20025,2026,Clark County,KANSAS,Rural
20077,5594,Harper County,KANSAS,Rural
20111,33251,Lyon County,KANSAS,Rural
20145,6629,Pawnee County,KANSAS,Rural
20033,1740,Comanche County,KANSAS,Rural
20063,2644,Gove County,KANSAS,Rural
20079,34503,Harvey County,KANSAS,Urban
20093,3907,Kearny County,KANSAS,Rural
20113,28567,McPherson County,KANSAS,Rural
5041,11709,Desha County,ARKANSAS,Rural
5049,12231,Fulton County,ARKANSAS,Rural
5061,13311,Howard County,ARKANSAS,Rural
5051,98555,Garland County,ARKANSAS,Urban
5093,42126,Mississippi County,ARKANSAS,Rural
5115,63761,Pope County,ARKANSAS,Rural
5117,8189,Prairie County,ARKANSAS,Rural
5139,39449,Union County,ARKANSAS,Rural
5147,6533,Woodruff County,ARKANSAS,Rural
5023,25100,Cleburne County,ARKANSAS,Rural
5025,8128,Cleveland County,ARKANSAS,Urban
5067,17027,Jackson County,ARKANSAS,Rural
5057,21842,Hempstead County,ARKANSAS,Rural
5135,17139,Sharp County,ARKANSAS,Rural
5137,12475,Stone County,ARKANSAS,Rural
5143,232289,Washington County,ARKANSAS,Urban
5005,41427,Baxter County,ARKANSAS,Rural
5003,20270,Ashley County,ARKANSAS,Rural
5031,107345,Craighead County,ARKANSAS,Urban
5055,44937,Greene County,ARKANSAS,Rural
5105,10355,Perry County,ARKANSAS,Urban
5111,23896,Poinsett County,ARKANSAS,Urban
5133,17081,Sevier County,ARKANSAS,Rural
5013,5192,Calhoun County,ARKANSAS,Rural
5019,22386,Clark County,ARKANSAS,Rural
5075,16549,Lawrence County,ARKANSAS,Rural
5095,7050,Monroe County,ARKANSAS,Rural
5029,20858,Conway County,ARKANSAS,Rural
5101,7812,Newton County,ARKANSAS,Rural
5001,17914,Arkansas County,ARKANSAS,Rural
5085,72528,Lonoke County,ARKANSAS,Urban
5015,27965,Carroll County,ARKANSAS,Rural
5123,25900,St. Francis County,ARKANSAS,Rural
5119,392967,Pulaski County,ARKANSAS,Urban
6047,271382,Merced County,CALIFORNIA,Urban
6043,17420,Mariposa County,CALIFORNIA,Rural
6049,8907,Modoc County,CALIFORNIA,Rural
6013,1142251,Contra Costa County,CALIFORNIA,Urban
6027,17977,Inyo County,CALIFORNIA,Rural
6099,543194,Stanislaus County,CALIFORNIA,Urban
6083,444829,Santa Barbara County,CALIFORNIA,Urban
6103,63912,Tehama County,CALIFORNIA,Rural
